sha256_hash,malware_family,stratum_tier
840da42cd958e254b9ed5410d6224d41603303a83190728eae9b2974257ee1c3,ransomware,known
fec3f4806bd25c9a24fc375f236638171f99e11c92d862b31b79091d41e39ac4,ransomware,known
27a714eaa0dc6aaaf3a5626e5a0ffd04c09ce55ab79931d361b313483b0dc26f,ransomware,known
c3d061fa81e1e06ff68140b9bda1526ea5984c3b6e260745d20c10f77f4effff,ransomware,known
996657ef2ef6d37ed432798332d4fa81acbe463aabcfa9cb147751375621ef69,ransomware,known
47d8b9719205d6f57b32af4f652966c931778810d696ad6351b580154bcc9b4a,ransomware,known
211d6b5cf1b1fef7040029cd6786698cdb0d6fb487a80b4dc15feb3cef115981,ransomware,known
8945b389c29cbc1e8ef24f927e6814fa44d4d5cdd048f2df3673c315249b5d97,ransomware,known
8c43559a9c20cd62671b3c301ebc35d245ca24bfe9dbae88cb7239e28b53b1c6,ransomware,known
36f175998f6a44846428f775d55f2c828d5793b22d057e54cef690c81d92f978,ransomware,known
375b1dff4434fbe08b84937f9d95804ac8edbff2d61230bf15454be80ca1b524,ransomware,known
8276011fbb9abbf126bc199b204fa1356324146adabfa6748fc3119250ed3851,ransomware,known
5f82df2107704b1a283cf1252004dbe035056e853445557a03c89e70c129b913,ransomware,known
62728e9bf582ff8d7d6655d81e7211879575b177f8404fa6f834263eae8da47a,ransomware,known
5485d79ba5a8a8886301fdfa62ebd71a8e567f0f58ae1f5bd439809505654cf4,ransomware,known
fcb82e90ae2c3406ab59623e42e10638a24f8a8a1d5ceef5acea51d4ce1a1550,ransomware,known
df59d97d2e3b87d4861a9e49e21a6f5307d4e629c371162147f55417611c98a0,ransomware,known
519c93bf214166a12734bea170bfc5b1081d5f8bb2aef4917898d950b0095b52,ransomware,known
d30d36bfad78b62ae0cc489771ce576650245766dfc19ec3f2f0853bea45f6ea,ransomware,known
f6b5a06a031dbab9a7c18280763f9f1d10b8ad10e9b541c081addd1e4bdec7b1,ransomware,known
8d0d3e2e0067b3c192a2dc241ef6f3437107dac721c5dab46345af00d4258ed4,ransomware,known
400c06df5e28af3167ee83724732eca3ee1c60fa4f163969b18785ce4bbf605f,ransomware,known
9f7dba25c02cdead532c3a01d41ea7732cc9a63592849f2f6781bd8f75a53965,ransomware,known
cdb8fda26a1caf472b762cf04f337320ec835ca9e38dfd10c14c8160715a60e2,ransomware,known
8e2a2f432de1ea567de52fa14055a4545eaced7d3d26ce5dc13a52bf9249157b,ransomware,known
64baa7c5c924377ed53712773baf09c0dc32c6a28008846fe08223d69d306f96,ransomware,known
3b0816cd102fe280ffed7129cd6201d826f65185cf560a8270a172ed2c16be90,ransomware,known
cf469fc5db5ba33cde1f287b1c6879b6521514e868ea5244694c7551561e413b,ransomware,known
51af2fb5ed1bcab1a599b67e2691c2f515428d3891e858f7d3861facbea9370e,ransomware,known
74d49152e2d7135e48fc1c06ad60ac65ff4d186343858dfc6f18650dd8906424,ransomware,known
928de9ec7a5c77b76abfb430f13ce20829cd30dbbe15ab25721e71e10b55abff,ransomware,known
44fa068629fa523ad953272c61333c80c1e9cf176ab9f11c211f1115a9cc230d,ransomware,known
864361f34ec69085bd90d5a6581bff63c1c1acfe6f8e68c7d9569248d8d2c9ef,ransomware,known
a808fcd1bf0725409941895fa5fda3103e82a9d5309995816c9419f05665485d,ransomware,known
324e5a8f84fe639bd3eae554c468f86396cca15cdc56ca3e2a47f2c839f4fbd7,ransomware,known
57bbc170be9afae5fdf27cd94f00f0c1a0fd324065e4a4cdb6c55df67e384eae,ransomware,known
e47caa0911f42ab1ea13ea3aaee001584d144c28638ac2603b624af0d8bdc228,ransomware,known
a18af05b518cc4d8b4d2d011483549e44d0f115fd52d34d2e59797fc58d89253,ransomware,known
4b605b71c4026615f895a21d1905230c84635a46bbba7f736d7b8ee5383e2a08,ransomware,known
a50b32b66fd41d647f85bb86cc7a60c158d6205ba70c328dd99424b7be614265,ransomware,known
3edbcb1e19e809afd2a8c2695bc4c54efdef6f2f0bbbcac768b6d53d66a5d026,ransomware,known
c091c8a5031e97e4d39e1576061f8126a4167d57f3edae94e82292adfde28da6,ransomware,known
8febddcd24f49bd608a46dc2429f15343fa249cef91f12b89b12af323ca61fce,ransomware,known
2770364e95a8cb11fd0a0990584f5c722f780739f92748356a0e8b4e7fd2d5c5,ransomware,known
6269e8805ecbaacabd8179ed22e5c60313735bd0da10922c596247e603000e99,ransomware,known
183776aea34542fb98a7669fbbc26be6d48bc61fb0eb7a7a092625c4fd0f2e2c,ransomware,known
4a069f86d409771563d2f3dcc2ac7922735c7b2f25b690352122a80d308fddf5,ransomware,known
54191910671aa5d6c6da158ff478a4bc367d5b4c3aa030ff6721904db7070b63,ransomware,known
0e083336c65783fdab9b3a2785ef1e0d55f34dab6098a8a64bca8aee0eaffcd9,ransomware,known
7e08f5babb2219c015e9eed9c14e39961dfce71db9f5b2d97a0ed7788c980cb2,ransomware,known
4e361c4734233df57c93affff15301cf697a6affda4b52ad9dff899ee41d97e8,ransomware,known
535a7ac654a22ad1d969cb8e473f2bad0815b13b49c12be6587f7edd4a143520,ransomware,known
c979b3c4b91d3cb3a6c4ada984c243778be3a2e831573aa1fe53a843b5e93e30,ransomware,known
27924286a535293dfc33f25e487fce5bfc9d5f2d13dec5f9c94ddc3f49ad3ecc,ransomware,known
402946f4e0d559b882347a7a211be80481cd87a0e3dd7e3dbca97f1f31efcbdd,ransomware,known
405bd63baafbf168a0167988734876b61a3586b87e253f4caca9c8d080a14b93,ransomware,known
df0ebf5c7cfe16f17db95db0b261b4bd5dac257bcb86bfd410ed3522a5c6c823,ransomware,known
efc1c321497a07bd079ef7e5b3b9638b68375dce0f236e4371d84d51fcf73428,ransomware,known
f3e1961af1c8e878a5aa58990f36b2a68edab431cee5ad89ca478a02f2cb7798,ransomware,known
fa2d9742ae270fad54e5825b248c3eed35898427deefed7f1a9acdc5d3c0ee91,ransomware,known
b149dc55a135e31c8e2bde3d448b0fdd1d05f70006c6fcf9a4dcea7e532ee084,ransomware,known
056be9d413fd0af64618ee93d991f3d07a6dc9e14ec52e1318b395fcf888eeb0,ransomware,known
6185aeb477bfbb4f0d7613a16d6f29c5adbe4e8b79d97c5b0aec0f044dcda158,ransomware,known
78d23b49b4ef2db87848f3546040a28036c55a0a7d4ae7ca7f82aa09fba8e35d,ransomware,known
f10bae5a5f2d4aaec69ef84ce1bef7cb871b65ecb75f07ceadf64b65bdf72836,ransomware,known
230f6a6994ea1186f2aba98914875db486e58c64a55a9275032cf6347f58ce11,ransomware,known
1b6ae1f3c16590ab424b965d732e4515291348a35cac70951df8a7bd4a6fa4ba,ransomware,known
41edfc9575fca8463dd48c1a7bd0bebe0ddf172413fadb740e44878891ff43a4,ransomware,known
d28730a0d2c5c41edf5e306bb8375da416ea53cf558f48f5a18a4ad039c2721e,ransomware,known
b98100b9fa1520119fb958c4e6405346c140862ac0c367b70b57e5277e3fca71,ransomware,known
02ddfe2dda3247ea015417dd7fcc22e77cbf48330472d27ed074eb677b432cf1,ransomware,known
c66e47c21bd64b22c85543c6d5c4e377e0e533ae405b72d9e09630cb88734078,ransomware,known
723307f9278f604966af1b62154ad8605df0e067f22d48258dfe469bf52d2502,ransomware,known
487a3ca8911826ed45ca988e9ce24d2be755dd9c9256022e965403e7494f5df7,ransomware,known
28ffcd557bb82615b06514a0f5d4ce6aa71ded0c6a651b21e35030fe8c208505,ransomware,known
e7e9fafd5c99f1fde69bb7cf04d3053fa8c827238e371b6bfd3c74ec610387bf,ransomware,known
0c932deef7c03ef66d232f6ce0eaef4dbcaf8961f4cff4b116c0f20e64386720,ransomware,known
eee48387606e7abdf4426147258bb3de936a6f5f7c435ba25d7d9146064521cd,ransomware,known
5a4359c7dd9ab8beb095fc773bf70383b71ee27777488ff1878a8cdcdc7a24b6,ransomware,known
ea27d3bc71124538aeb9fa6d301b4aef14c1dfdf6c9034345c4bbb4e15664848,ransomware,known
02006392237439cf0ba74cff387b21c90aa186f357d0cdc816201f15483d6996,ransomware,known
ac304a445dd8a90219968b98bb3abd4d9a54f754086a1a45bbca0092e3bd098c,ransomware,known
3f51d98c16da4589bf96cdc7b6b54d7bc1f9026bcc4e621c36ed0fce0e57e2d0,ransomware,known
912cc488cc01fdd13d96e60a8dd7e559a5cd4c41c8a15456ebd1bae5fe5dbc14,ransomware,known
b8f7eb0134b8b53502c0588a4ea052da151924538e151fef94556fe185d27bf0,ransomware,known
6669708a245b605cccee74c3649f57cc66ef03f5f20d745b801e888969d69939,ransomware,known
11ce9c1a80d96781a5327f1c4f465c11578aa739b7d1a3ced3f88f1e39b5745b,ransomware,known
3048d325bdd994227acd26faff22e07c72dc415871407dd6515f945fe69366dd,ransomware,known
2596a1e582a6085d02c13fd7461797d95616fdba007dec68af916b1b3716517d,ransomware,known
e49f024281f9786855c4a719be36b72ac20d945ce5575f0cb4ec880e28ef6c12,ransomware,known
0a8717fc61720d276dded348b840d505df16bc9c7398a50890a7fde996531dc1,ransomware,known
404bb91d685a1d180215b1466db91a276812e730d14ba8f791da7fa6e7c75b75,ransomware,known
4af7dbb80955e7ec6d7a0a5c3ac4a24afb0d2951a723c41199196dfdb5605b07,ransomware,known
b687b1c7b42bcb02e4e79df621d1862543914237cd25891dca00f6f4f850ee3f,ransomware,known
425804a29a6616eb89dee773dddf0b37e197f9254f5bcdeed21875bbaeda1990,ransomware,known
